epoch,wall,te_smooth,te_spike,best_te_spike,rate,omega_mean
0,0.6,0.0947,0.0682,0.0682,0.0397,0.7536
1,23.4,0.1932,0.1856,0.1856,0.1070,0.7846
2,46.6,0.1780,0.1780,0.1856,0.1165,0.7881
3,71.0,0.2045,0.2008,0.2008,0.1172,0.7914
4,95.3,0.2235,0.2121,0.2121,0.1291,0.7843
5,120.0,0.2083,0.2083,0.2121,0.1430,0.7789
6,144.5,0.2689,0.2689,0.2689,0.1505,0.7729
7,168.7,0.2121,0.2083,0.2689,0.1572,0.7674
8,193.6,0.1856,0.1894,0.2689,0.1560,0.7651
9,219.4,0.3106,0.3182,0.3182,0.1617,0.7623
10,245.2,0.3182,0.3258,0.3258,0.1622,0.7642
11,270.6,0.2727,0.2614,0.3258,0.1676,0.7619
12,295.6,0.2614,0.2614,0.3258,0.1742,0.7612
