epoch,wall,tr_loss,tr_acc,te_loss,te_acc,best_te_acc,om_mean,al_mean
0,9.8,2.3021,0.0992,2.3022,0.1330,0.1330,0.5967,0.9744
1,64.1,1.5494,0.4647,1.6484,0.4295,0.4295,0.5911,0.9769
2,119.3,1.2506,0.5547,1.3847,0.4955,0.4955,0.5918,0.9779
3,174.5,1.1235,0.6103,1.2713,0.5595,0.5595,0.5908,0.9782
4,229.2,1.0854,0.6325,1.2139,0.5805,0.5805,0.5904,0.9785
5,283.8,1.0042,0.6715,1.1794,0.6050,0.6050,0.5898,0.9787
6,338.5,0.9326,0.7039,1.0855,0.6635,0.6635,0.5893,0.9788
7,393.1,0.9094,0.6987,1.0604,0.6540,0.6635,0.5896,0.9789
8,447.5,0.9123,0.7055,1.0608,0.6535,0.6635,0.5897,0.9789
9,498.4,0.8698,0.7223,1.0573,0.6600,0.6635,0.5901,0.9789
10,549.4,0.8619,0.7225,1.0211,0.6655,0.6655,0.5894,0.9789
11,600.7,0.8362,0.7265,1.0296,0.6675,0.6675,0.5893,0.9790
12,651.1,0.8990,0.6911,1.0778,0.6425,0.6675,0.5896,0.9790
