epoch,wall,tr_a0,tr_a1,tr_ac,te_a0,te_a1,te_ac,best_te_ac,om0,al0,om1,al1
0,27.2,0.0928,0.1185,0.1133,0.1325,0.1105,0.1060,0.1060,0.6029,0.9746,0.1563,0.9848
1,144.9,0.4213,0.5347,0.5350,0.3900,0.4940,0.4930,0.4930,0.5927,0.9770,0.1585,0.9845
2,259.9,0.5383,0.3822,0.3826,0.5010,0.3255,0.3255,0.4930,0.5916,0.9780,0.1610,0.9842
3,374.5,0.5645,0.6361,0.6366,0.5225,0.5910,0.5915,0.5915,0.5903,0.9784,0.1629,0.9840
4,489.7,0.5679,0.6698,0.6705,0.5280,0.6100,0.6100,0.6100,0.5900,0.9786,0.1649,0.9837
5,606.0,0.6061,0.6952,0.6955,0.5665,0.6505,0.6515,0.6515,0.5896,0.9788,0.1668,0.9836
6,735.4,0.6370,0.6990,0.6995,0.5890,0.6460,0.6460,0.6515,0.5903,0.9791,0.1686,0.9834
7,926.3,0.6179,0.7698,0.7706,0.5610,0.6955,0.6975,0.6975,0.5913,0.9792,0.1703,0.9833
8,1114.9,0.6453,0.7248,0.7249,0.6005,0.6900,0.6910,0.6975,0.5906,0.9794,0.1720,0.9832
9,1238.1,0.6652,0.7255,0.7257,0.6240,0.7095,0.7095,0.7095,0.5903,0.9795,0.1735,0.9831
10,1358.9,0.6748,0.7642,0.7643,0.6295,0.7050,0.7050,0.7095,0.5900,0.9796,0.1749,0.9830
11,1489.5,0.6701,0.7620,0.7623,0.6050,0.7070,0.7070,0.7095,0.5900,0.9796,0.1760,0.9829
12,1710.3,0.6525,0.8004,0.8006,0.6085,0.7385,0.7390,0.7390,0.5899,0.9797,0.1774,0.9828
13,1895.2,0.6690,0.6836,0.6842,0.6325,0.6450,0.6445,0.7390,0.5906,0.9797,0.1785,0.9828
14,2137.5,0.6729,0.8115,0.8116,0.6290,0.7640,0.7640,0.7640,0.5906,0.9797,0.1798,0.9827
15,2349.4,0.6822,0.7330,0.7336,0.6450,0.7090,0.7100,0.7640,0.5914,0.9797,0.1808,0.9826
