epoch,wall,tr_a0,tr_a1,tr_a2,tr_ac,te_a0,te_a1,te_a2,te_ac,best_te_ac,om0,om1,om2
0,43.2,0.1094,0.1029,0.1074,0.1072,0.0885,0.0890,0.0925,0.0920,0.0920,0.6143,0.1492,0.0391
1,231.8,0.4012,0.5720,0.5187,0.6359,0.3815,0.5230,0.4755,0.5840,0.5840,0.6066,0.1518,0.0398
2,418.4,0.4850,0.5620,0.5972,0.6453,0.4305,0.5270,0.5500,0.5880,0.5880,0.6048,0.1541,0.0405
3,605.4,0.5317,0.5831,0.6590,0.6929,0.4810,0.5450,0.6075,0.6165,0.6165,0.6046,0.1561,0.0412
4,792.2,0.4995,0.7086,0.7107,0.7714,0.4560,0.6410,0.6380,0.7130,0.7130,0.6040,0.1580,0.0419
5,978.1,0.5567,0.7149,0.7275,0.7802,0.4770,0.6675,0.6680,0.7135,0.7135,0.6043,0.1596,0.0425
6,1166.7,0.5879,0.6708,0.7158,0.7419,0.5170,0.6045,0.6320,0.6740,0.7135,0.6041,0.1610,0.0431
7,1352.5,0.5934,0.7442,0.7792,0.8246,0.5550,0.6860,0.6990,0.7515,0.7515,0.6042,0.1623,0.0437
8,1540.0,0.5959,0.7597,0.7102,0.7961,0.5270,0.7320,0.6685,0.7570,0.7570,0.6048,0.1635,0.0443
9,1729.8,0.6155,0.7101,0.7445,0.7936,0.5345,0.6245,0.6675,0.7140,0.7570,0.6054,0.1647,0.0450
10,1919.6,0.6126,0.7763,0.7640,0.8311,0.5780,0.7205,0.6925,0.7710,0.7710,0.6046,0.1657,0.0456
11,2109.0,0.6212,0.7482,0.6759,0.7826,0.5425,0.6975,0.6065,0.7190,0.7710,0.6052,0.1669,0.0462
12,2299.3,0.6417,0.8018,0.7761,0.8542,0.5815,0.7140,0.7030,0.7840,0.7840,0.6047,0.1678,0.0469
13,2491.2,0.6773,0.8715,0.8103,0.8743,0.6115,0.8255,0.7385,0.8255,0.8255,0.6041,0.1681,0.0471
14,2686.2,0.6793,0.8763,0.7740,0.8821,0.6315,0.8065,0.6740,0.8225,0.8255,0.6032,0.1684,0.0473
15,2874.8,0.6752,0.8239,0.7740,0.8693,0.6365,0.7715,0.6825,0.8085,0.8255,0.6026,0.1688,0.0475
16,3064.0,0.6924,0.7988,0.8340,0.8638,0.6340,0.7525,0.7530,0.8080,0.8255,0.6025,0.1692,0.0477
17,3251.1,0.7020,0.7990,0.7823,0.8550,0.6555,0.7495,0.7195,0.8080,0.8255,0.6022,0.1695,0.0479
18,3442.9,0.6953,0.8280,0.7915,0.8692,0.6285,0.7890,0.7035,0.8145,0.8255,0.6020,0.1698,0.0481
19,3624.9,0.6874,0.8444,0.7770,0.8703,0.6455,0.7985,0.7040,0.8320,0.8320,0.6021,0.1702,0.0483
20,3816.1,0.7050,0.8956,0.8471,0.9075,0.6650,0.8465,0.7905,0.8660,0.8660,0.6018,0.1706,0.0485
