label,lr,wd,batch,epochs,best_test
linear_lr0.001,0.001,0.0001,128,150,0.6482999920845032
linear_lr0.003,0.003,0.0001,128,150,0.6503999829292297
linear_lr0.01,0.01,0.0001,128,150,0.6484000086784363
mlp_h128_drop0.0,0.003,0.0001,128,150,0.6740999817848206
mlp_h128_drop0.3,0.003,0.0001,128,150,0.6601999998092651
mlp_h512_drop0.0,0.003,0.0001,128,150,0.6751000285148621
mlp_h512_drop0.3,0.003,0.0001,128,150,0.6603000164031982
ridge_alpha0.01,,,,closed-form,0.17299999296665192
ridge_alpha0.1,,,,closed-form,0.4575999975204468
ridge_alpha1.0,,,,closed-form,0.6247000098228455
ridge_alpha10.0,,,,closed-form,0.6240000128746033
