epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,5.1,0.0320,0.0610,0.0470,0.0510,0.0370,0.0580,0.0460,0.0580,0.0580,0.0818,0.2373,0.7014,0.7894,0.2159,0.0783
1,145.2,0.4660,0.6290,0.5340,0.6210,0.4690,0.6270,0.5370,0.6130,0.6130,0.0870,0.0961,0.1781,0.7894,0.2159,0.0784
2,296.8,0.5420,0.7080,0.6770,0.7060,0.5350,0.7120,0.6790,0.6980,0.6980,0.1027,0.0667,0.0865,0.7887,0.2161,0.0785
3,449.6,0.5570,0.7180,0.7110,0.7170,0.5580,0.7100,0.7140,0.7170,0.7170,0.1117,0.0912,0.0766,0.7876,0.2160,0.0786
4,586.0,0.5500,0.7050,0.7170,0.7230,0.5500,0.7060,0.7140,0.7220,0.7220,0.1111,0.1054,0.0731,0.7866,0.2157,0.0787
5,800.3,0.5550,0.6990,0.7280,0.7200,0.5560,0.6990,0.7270,0.7240,0.7240,0.1103,0.1097,0.0798,0.7857,0.2153,0.0788
6,955.1,0.5690,0.6940,0.7030,0.7030,0.5590,0.6870,0.7020,0.7000,0.7240,0.1104,0.1110,0.0827,0.7848,0.2150,0.0788
7,1102.0,0.5640,0.7100,0.7510,0.7410,0.5670,0.7110,0.7510,0.7350,0.7350,0.1108,0.1125,0.0904,0.7841,0.2147,0.0789
8,1250.9,0.5590,0.7140,0.7420,0.7400,0.5620,0.7120,0.7420,0.7370,0.7370,0.1111,0.1158,0.1019,0.7834,0.2144,0.0790
